path,language,category,loc,reason
archive/primitive-surface/hooks/agent-work-tracker.sh,bash,legacy,89,archived script; do not port unless resurrected
archive/primitive-surface/hooks/session-sanity.sh,bash,legacy,152,archived script; do not port unless resurrected
archive/primitive-surface/hooks/wiring-check.sh,bash,legacy,51,archived script; do not port unless resurrected
bin/cognitive-os.sh,bash,CLI,1345,installer/entrypoint wrapper; keep thin shell or replace with Rust installer later
cmd/cos-dispatch/dispatch.go,go,CLI,294,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-dispatch/dispatch_test.go,go,CLI,317,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-dispatch/main.go,go,CLI,42,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-dispatch/main_test.go,go,CLI,221,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-dispatch/review.go,go,CLI,263,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-dispatch/review_test.go,go,CLI,325,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/banner/banner.go,go,CLI,217,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/banner/banner_test.go,go,CLI,178,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/broad.go,go,CLI,195,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/broad_test.go,go,CLI,131,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/cluster.go,go,CLI,315,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/cluster_test.go,go,CLI,394,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/coverage.go,go,CLI,244,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/dashboard.go,go,CLI,31,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/focused.go,go,CLI,384,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/focused_test.go,go,CLI,255,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/root.go,go,CLI,75,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/run.go,go,CLI,107,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/cli/watch.go,go,CLI,197,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/config/config.go,go,CLI,132,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/lanes/lanes.go,go,CLI,313,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/lanes/lanes_test.go,go,CLI,241,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/resourcepolicy/policy.go,go,CLI,273,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/resourcepolicy/policy_test.go,go,CLI,68,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/runner/discovery.go,go,CLI,119,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/runner/pytest.go,go,CLI,293,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/runner/raw.go,go,CLI,229,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/runner/raw_test.go,go,CLI,129,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/runner/results.go,go,CLI,115,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/ui/config.go,go,CLI,79,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/ui/dashboard.go,go,CLI,267,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/ui/messages.go,go,CLI,158,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/ui/progress.go,go,CLI,162,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/ui/styles.go,go,CLI,101,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/internal/ui/summary.go,go,CLI,164,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos-test/main.go,go,CLI,15,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/add.go,go,CLI,234,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/add_test.go,go,CLI,134,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/audit.go,go,CLI,87,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/changelog.go,go,CLI,125,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/changelog_test.go,go,CLI,120,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/cli_test.go,go,CLI,1065,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/errors.go,go,CLI,42,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/info.go,go,CLI,297,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/init.go,go,CLI,204,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/install.go,go,CLI,171,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/list.go,go,CLI,116,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/map.go,go,CLI,156,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/new.go,go,CLI,357,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/new_test.go,go,CLI,289,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/perf.go,go,CLI,197,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
cmd/cos/internal/cli/profile.go,go,CLI,82,Go command package for user/operator CLI; Rust candidate if CLI becomes single portable binary
